time,open,high,low,close
2013-08-31T00:00:00Z,119.4650244,134.95,119.4650244,128.1525
2013-09-01T00:00:00Z,123.8087622,132.09,123.8087622,129.36
2013-09-02T00:00:00Z,126.5843811,132,126.5843811,130.33
2013-09-03T00:00:00Z,128.4571906,131,127,129.145
2013-09-04T00:00:00Z,128.8010953,129.94,115.21,124.29
2013-09-05T00:00:00Z,126.5455476,127.5,116.07,121.93
2013-09-06T00:00:00Z,124.2377738,124.54,115.21,119.855
2013-09-07T00:00:00Z,122.0463869,122.16,115.5,118.5375
2013-09-08T00:00:00Z,120.2919435,120.94,116,118.7975
2013-09-09T00:00:00Z,119.5447217,124.13,115,119.795
2013-09-10T00:00:00Z,119.6698609,124.26,119.6698609,122.2025
2013-09-11T00:00:00Z,120.9361804,127.72,118,123.8375
2013-09-12T00:00:00Z,122.3868402,128.5,122.3868402,126.38
2013-09-13T00:00:00Z,124.3834201,128.79,124.3834201,126.9825
2013-09-14T00:00:00Z,125.6829601,128,123.05,125.8125
2013-09-15T00:00:00Z,125.74773,126.25,123,124.775
2013-09-16T00:00:00Z,125.261365,126.71,124.03,125.5925
2013-09-17T00:00:00Z,125.4269325,127.69,125.4269325,126.59
2013-09-18T00:00:00Z,126.0084663,128,124.2,126.53
2013-09-19T00:00:00Z,126.2692331,127.95,123.02,125.5375
2013-09-20T00:00:00Z,125.9033666,126.02,121.16,123.565
2013-09-21T00:00:00Z,124.7341833,124.7341833,121.7,123.0275
2013-09-22T00:00:00Z,123.8808416,123.8808416,122.35,123.125
2013-09-23T00:00:00Z,123.5029208,123.99,121.54,122.8575
2013-09-24T00:00:00Z,123.1802104,124.01,121.77,123.1125
2013-09-25T00:00:00Z,123.1463552,125,123.1463552,123.8075
2013-09-26T00:00:00Z,123.4769276,124.9,123,124.015
2013-09-27T00:00:00Z,123.7459638,126.96,123.7459638,125.7775
2013-09-28T00:00:00Z,124.7617319,127,124.01,126.125
2013-09-29T00:00:00Z,125.443366,128.8,125.443366,127.0975
2013-09-30T00:00:00Z,126.270433,127.53,122.77,125.8875
2013-10-01T00:00:00Z,126.0789665,127.93,125.54,126.7625
2013-10-02T00:00:00Z,126.4207332,127.8,85,110.99
2013-10-03T00:00:00Z,118.7053666,118.79,102,110.5675
2013-10-04T00:00:00Z,114.6364333,122.98,114.6364333,119.755
2013-10-05T00:00:00Z,117.1957167,122.29,117.1957167,121.635
2013-10-06T00:00:00Z,119.4153583,122.49,119.4153583,121.84
2013-10-07T00:00:00Z,120.6276792,124.49,120.11,122.6475
2013-10-08T00:00:00Z,121.6375896,125.17,121.6375896,123.7425
2013-10-09T00:00:00Z,122.6900448,127.99,122.3,125.1725
2013-10-10T00:00:00Z,123.9312724,126.8,123.9312724,126.0725
2013-10-11T00:00:00Z,125.0018862,127.42,125.0018862,126.8825
2013-10-12T00:00:00Z,125.9421931,128,125.9421931,127.3425
2013-10-13T00:00:00Z,126.6423465,133,126.6423465,130.2425
2013-10-14T00:00:00Z,128.4424233,138.22,128.4424233,134.6175
2013-10-15T00:00:00Z,131.5299616,147.39,131.5299616,139.9175
